"zip","state","city","longitude","latitude","timezone","dst"
210,"NH","Portsmouth",-71.01,43.01,-5,1
211,"NH","Portsmouth",-71.01,43.01,-5,1
212,"NH","Portsmouth",-71.01,43.01,-5,1
213,"NH","Portsmouth",-71.01,43.01,-5,1
214,"NH","Portsmouth",-71.01,43.01,-5,1
215,"NH","Portsmouth",-71.01,43.01,-5,1
501,"NY","Holtsville",-72.64,40.92,-5,1
544,"NY","Holtsville",-72.64,40.92,-5,1
601,"PR","Adjuntas",-66.75,18.18,-4,0
602,"PR","Aguada",-67.18,18.36,-4,0
603,"PR","Aguadilla",-67.13,18.45,-4,0
604,"PR","Aguadilla",-67.14,18.5,-4,0
605,"PR","Aguadilla",-67.14,18.47,-4,0
606,"PR","Maricao",-66.96,18.18,-4,0
607,"PR","Aguas Buenas",-66.1,18.26,-4,0
609,"PR","Aibonito",-66.27,18.14,-4,0
610,"PR","Anasco",-67.14,18.29,-4,0
611,"PR","Angeles",-66.8,18.28,-4,0
612,"PR","Arecibo",-66.7,18.45,-4,0
613,"PR","Arecibo",-66.73,18.46,-4,0
614,"PR","Arecibo",-66.67,18.43,-4,0
615,"PR","Arroyo",-66.06,17.97,-4,0
616,"PR","Bajadero",-66.68,18.43,-4,0
617,"PR","Barceloneta",-66.56,18.46,-4,0
618,"PR","Barranquitas",-66.31,18.19,-4,0
622,"PR","Boqueron",-67.17,18,-4,0
623,"PR","Cabo Rojo",-67.15,18.09,-4,0
624,"PR","Penuelas",-66.73,18.06,-4,0
625,"PR","Caguas",-66.04,18.23,-4,0
626,"PR","Caguas",-66.04,18.24,-4,0
627,"PR","Camuy",-66.86,18.44,-4,0
631,"PR","Castaner",-66.85,18.19,-4,0
633,"PR","Cayey",-66.18,18.19,-4,0
634,"PR","Cayey",-66.18,18.11,-4,0
635,"PR","Ceiba",-65.65,18.26,-4,0
636,"PR","Rosario",-67.04,18.11,-4,0
637,"PR","Sabana Grande",-66.95,18.07,-4,0
638,"PR","Ciales",-66.5,18.31,-4,0
639,"PR","Cidra",-66.16,18.18,-4,0
640,"PR","Coamo",-66.36,18.08,-4,0
641,"PR","Utuado",-66.71,18.27,-4,0
,,,,,,
643,"PR","Corozal",-66.32,18.34,-4,0
644,"PR","Coto Laurel",-66.55,18.05,-4,0
645,"PR","Culebra",-65.3,18.31,-4,0
646,"PR","Dorado",-66.28,18.44,-4,0
647,"PR","Ensenada",-66.94,17.96,-4,0
648,"PR","Fajardo",-65.66,18.33,-4,0
650,"PR","Florida",-66.57,18.36,-4,0
652,"PR","Garrochales",-66.61,18.46,-4,0
653,"PR","Guanica",-66.9,17.99,-4,0
654,"PR","Jobos",-66.12,17.98,-4,0
655,"PR","Olimpo",-66.12,17.98,-4,0
656,"PR","Guayanilla",-66.79,18.04,-4,0
658,"PR","Gurabo",-65.97,18.25,-4,0
659,"PR","Hatillo",-66.8,18.43,-4,0
660,"PR","Hormigueros",-67.12,18.14,-4,0
661,"PR","Humacao",-65.83,18.15,-4,0
662,"PR","Isabela",-67.02,18.48,-4,0
664,"PR","Jayuya",-66.59,18.21,-4,0
665,"PR","Ponce",-66.5,18.04,-4,0
666,"PR","Juncos",-65.92,18.23,-4,0
667,"PR","Lajas",-67.04,18.02,-4,0
669,"PR","Lares",-66.88,18.29,-4,0
670,"PR","Las Marias",-66.98,18.24,-4,0
671,"PR","Las Piedras",-65.87,18.18,-4,0
674,"PR","Manati",-66.49,18.43,-4,0
676,"PR","Moca",-67.08,18.38,-4,0
677,"PR","Rincon",-67.24,18.34,-4,0
678,"PR","Quebradillas",-66.93,18.44,-4,0
680,"PR","Mayaguez",-67.13,18.21,-4,0
681,"PR","Mayaguez",-67.51,18.22,-4,0
682,"PR","Mayaguez",-67.15,18.21,-4,0
683,"PR","San German",-67.05,18.09,-4,0
685,"PR","San Sebastian",-66.98,18.33,-4,0
687,"PR","Morovis",-66.42,18.32,-4,0
688,"PR","Sabana Hoyos",-66.61,18.4,-4,0
690,"PR","San Antonio",-67.1,18.5,-4,0
692,"PR","Vega Alta",-66.33,18.42,-4,0
693,"PR","Vega Baja",-66.39,18.44,-4,0
694,"PR","Vega Baja",-66.4,18.44,-4,0
698,"PR","Yauco",-66.86,18.07,-4,0
,,,,,,
703,"PR","Aguas Buenas",-66.13,18.25,-4,0
704,"PR","Aguirre",-66.22,17.97,-4,0
705,"PR","Aibonito",-66.27,18.13,-4,0
707,"PR","Maunabo",-65.91,18.01,-4,0
